description,country,variety
"This is a big, still young wine. Its structure remains dominant, giving chewy tannins and concentration. The fruit is ripe, generous, just ready to bring its blackberry juice character forward. For aging over several years.",Portugal,Portuguese Red
"Smoky, toasty aromas follow through with ripe, smooth, wood-influenced fruit. The wine is dark, complex, packed with dusty tannins, ripe stone fruits and a dark core of dryness. Age for another 2–3 years.",Portugal,Portuguese Red
"Want dense tannins? Then this your wine. Of course, it has much more than that. It has mineral-driven stone fruit flavors, a sense of terroir, of restrained power. It also has a serious side, and definite aging potential.",Portugal,Portuguese Red
"A drier style of white Port, its richness coming from concentrated flavors of spice, almond and vanilla. There is some good acidity to give the wine a refreshing aftertaste, leaving a flavor of dried oregano along with the spirit.",Portugal,Port
"This is a fruity wine, with tight acidity and a smooth texture. It's full of pear and green-apple flavors, and a warm, rich feeling. Very clean, ready to drink.",Portugal,Portuguese White
"The latest release from Vallado is a value wine named after a four-leaf clover found on the estate. Soft and spicy, it is full of berry flavors, with just a hint of Douro power. This 2010 is ready to drink for its fruit and its structure.",Portugal,Portuguese Red
"Solid and chunky, a wine that fills the mouth with its attractive red fruits, structured tannins and a general juicy feel. A fine barbecue wine.",Portugal,Portuguese Red
"Softer than some Vinho Verdes, this wine from the Loureiro grape has a baked-apple character, its acidity laced into the ripe grapefruit flavors. It is crisp, dry, yet soft.",Portugal,Loureiro
"This biodynamic estate produces an amazingly intense red for a Vinho Verde, with some wood character, firm tannins and great black fruits. The only hint of Vinho Verde comes from the bright final acidity.",Portugal,Portuguese Red
"On the tropical side of Sauvignon Blanc, the wine is packed with great acidity, and a fresh, creamy texture. It's as clean as a whistle, a delight to drink.",Portugal,Sauvignon Blanc
"Arinto, sometimes used in sparkling wine, creates a bright, crisp, lime-flavored wine. It is powered by its acidity and the apple skin texture, all the fruit coming right to the front.",Portugal,Arinto
"From vineyards in Douro Superior, the eastern section of the Douro region, this is a concentrated pure red berry fruit-flavored wine. It wears its richness lightly and easily, emphasizing the acidity as much as the ripe fruit.",Portugal,Portuguese Red
"A smooth, rich wine from a new range signed by winemaker João Portugal Ramos. It has fresh berry fruits, spiced tannin with some structure along with acidity. It shows power, a touch of toast, while also having elegance. Ready to drink.",Portugal,Portuguese Red
"Made from fruit that's sourced from the Buçaco Mountains in the east of Bairrada, this wine is rich and elegant, and its juicy fruit provides a counterbalance to the structure. With its youthful fruitiness, this is worth aging for another 2–3 years.",Portugal,Portuguese Red
"A red-fruited wine, this is fragrant of wood and strawberries. The palate has a smoky, wood-laden character, a ripe plum flavor and a fine line of acidity. A fresh red-currant note marks the finish.",Portugal,Portuguese Red
"Earthy, spicy aromas are followed by a chunky wine, tasting of tough clay and limestone soils. Dark black currant fruits and layers of acidity, give an austere final flavor.",Portugal,Portuguese Red
"Attractive fruits with a good, juicy flavor characterize this easy, fresh wine. Black berry flavors and vivid acidity make it ready to drink now.",Portugal,Portuguese Red
"A sweet style of white Port, its nut and honey flavors dominant. It has good balance though, a delicious apéritif wine.",Portugal,Port
"The Vinho Verde rosé style takes advantage of the high acidity of the red grapes in the region. Casa do Valle's rosé is bone dry, with an intense level of acidity, raspberry juice, crisp and fresh.",Portugal,Rosé
"Fresh and fruity, with attractive pink coloring, this light rosé has raspberry flavors, a touch of sweetness and caramel. It finishes bright and crisp.",Portugal,Rosé
"Mining a rich vein of sweet black plum fruits, this is big and powerful while held together with firm tannins, very ripe fruit, a smoky wood character and a ripe, juicy finish. Age for 4–5 years.",Portugal,Portuguese Red
"A seriously wood-aged wine, although one where the fruit is as important as the toast. It's ripe, packed with mango and sweet melon flavors.",Portugal,Portuguese White
"Wood-aged, sophisticated wine in homage to the present Countess of Santar. This is beautifully smooth with just a hint of oily texture, lime juice and sweet melon flavors. Worth aging another year to bring its great flavors together.",Portugal,Portuguese White
"With fruit from three Portuguese regions including Dâo and Douro, this herbal and mint- dominated wine is a blend of Touriga Nacional and Syrah. It has elegance, a touch of spice from wood, sweet juicy damson fruits and a lingering finish.",Portugal,Portuguese Red
"The Côa valley is at the remote eastern end of the Douro. The wine revels in its firm, mineral, structured character, with acidity, spice and a dry center. There is weight, richness and the potential for aging.",Portugal,Portuguese Red
"Lightly strawberry colored and flavored, this is a wine with a hint of tannin as well as bright, fresh fruit. While it could age for another year in bottle, it is a food-friendly sparkler that should pair well with rich seafood.",Portugal,Portuguese Sparkling
"A blend of Touriga Nacional and Syrah has produced an intriguing mix of earth, mint and red-fruit flavors. The wine is rich and concentrated, laced with intense acidity. Drink now.",Portugal,Portuguese Red
"A fine and fruity wine that is tangy, dry, packed with citrus and lively acidity that has benefited from a year's aging. The aftertaste is full, always fresh.",Portugal,Portuguese White
"With its tight tannins, this is a very structured wine, its juicy black fruits already well integrated into the dark texture. It tastes powerful because it is so concentrated. At the same time there is elegance.",Portugal,Portuguese Red
"Brilliant red fruits dominate this rich, full-bodied wine. It has a dense, jammy texture, full of ripe sweet fruit. The tannins provide a gentle backbone.",Portugal,Portuguese Red
A very mineral and rich Vinho Verde. The intense acidity is there as well as citrus characters and delicious ripe apple and pear flavors to round out the taut texture.,Portugal,Portuguese White
"A citrus-driven wine, fruity and fresh. The acidity is layered under a smoother, ripe character that gives the wine some richness. Clean, intensely fresh while also offering final crispness.",Portugal,Loureiro
"More traditional in style than some of the other Castello d'Alba wines, this shows dense tannins, a dark, dry character, spice, pepper and concentrated fruit. This is going to be firm and dry, worth aging.",Portugal,Portuguese Red
"Cabriz is the home estate of Dao Sul in the heart of the Dão region. This Reserva shows all the texture of the region's wines, with its granite feel, its firm and dry structure and its powerful fruit. An impressive wine, for aging",Portugal,Portuguese Red
A late-harvest white that brings sweet honey and lemon flavors together with spice from some wood aging and just the right amount of acidity.,Portugal,Malvasia Fina
"An impressively solid, structured wine. It is filled with black plum fruits, while also showing firm tannins, signs of wood aging and great concentration.",Portugal,Portuguese Red
"Such a stylish wine, with its elegant perfumed fruit, fine tannins, acidity, blackberry flavors and a firm structure. This is a wine that could age, although it is certainly ready to drink.",Portugal,Touriga Nacional
"White and black is the name, but that hardly does justice to this richly ripe wine that fills the glass with its heady perfumes. Tannic, yes, but also fruity, with concentrated plum fruits and a tight structure. Age for 3–4 years.",Portugal,Portuguese Red
"Very rich, this is a smooth spicy wine, its fruit flavors dominated by mango and pineapple, finished with a more mineral texture. It is worth opening this wine an hour before drinking, or even decanting.",Portugal,Antão Vaz
"Spicy fresh berry fruit, with a great burst of ripe plum juice, along with acidity. This is rich, although easy and medium-bodied. Drink now.",Portugal,Portuguese Red
"A wine that starts almost too soft, the structure only slowly coming through. The fruit is pleasant, wood and bitter chocolate, tobacco and spice, but the wine lacks definition.",Portugal,Portuguese Red
"A medium-dry Vinho Verde, this is light and fresh without being quite crisp enough. Well chilled, though, it makes a lively and fresh apéritif.",Portugal,Portuguese White
"Tasting young, with a stalky edge, this reserve Port shows black fruits, very berry in character. It is structured, on the dry side.",Portugal,Port
"A wine that reveals the warmth of the Alentejo in 2009. It is gentle and smooth, with flavors of spice, red fruit and a touch of wood. Not for aging, this is a great barbecue wine.",Portugal,Portuguese Red
"Soft and ripe, this wine has an easy, approachable character. It brings out the warmth of the Alentejo with a rounded character, rich black-cherry flavors and enticing acidity. Drink now.",Portugal,Portuguese Red
"A wine that preserves some of the earthy character of the Baga grape while getting a richer texture from Touriga Nacional and Tinta Roriz. The result is a powered, chunky wine that also has a hint of elegance, finishing with delicious fresh spice and juice.",Portugal,Portuguese Red
"Everything is overpowering with this wine, from the weight of the bottle, to the alcohol, to the intense flavors. It is an impressive one-glass-only wine, packed with concentrated juicy fruity, spice and wood flavors. Drink now.",Portugal,Portuguese Red
"Almost Port-like in its rich fruit, this is a young and vibrant wine, full of red berries and sweet tannins. There is a delicious forward, juicy and fruity character in this ready-to-drink wine.",Portugal,Portuguese Red
"Big and black-colored, this is a blockbuster in both looks and mouthfeel. It's dense, concentrated and packed with juicy fruit that's touched by a note of pepper due to the alcohol. It needs a few years to age, although it will always be an in-your-face wine.",Portugal,Portuguese Red
"A vanilla aroma is followed by old oak flavors and sweetly textured fruits. Not a wine for aging, this is already soft and fruity.",Portugal,Port
"This is a very floral wine, all fragrance and perfume. As a consequence, the fruit and structure are lost. There is a touch of bitterness on the finish.",Portugal,Port
"Named after the chapel of St Cátedra north of Lisbon, this is a powerful dark-colored wine with fruit aromas and a wood-laden palate. The wood goes with ripe damson fruit, while there is some freshening acidity. Age for another 2–3 years.",Portugal,Portuguese Red
"Firm tannins give this wine great structure. In a good sense, it has an old-fashioned leathery feel to it, very firm, dry, the fruit showing richness while already pointing towards maturity.",Portugal,Portuguese Red
"A powerful wine that retains intense structure, dark tannins and a dry core. It has a very mineral, almost stony texture from its mountain location. Well worth aging for 3–4 years.",Portugal,Portuguese Red
"An impressively structured wine, the dense and dusty tannins in fine balance with the big berry fruits. Freshness is preserved by the acidity, the wine's firm character opening up to a delicious, more juicy finish.",Portugal,Portuguese Red
"A partnership between Portuguese and Spanish winemakers, this is an impressive wine, powered by ripe fruit, solid tannins and a dense texture. It is serious, the structure important, and it needs aging.",Portugal,Portuguese Red
"An impressive wine, this estate wine of Cortes de Cima shows dusty tannins in a firm, ageworthy structure. The berry fruits are solid, concentrated, while always balanced. Age for 3–4 years.",Portugal,Portuguese Red
"Certainly rich, but also finely structured, it keeps its exuberant fruit firmly in check with dry tannins, dense texture and a fresh edge of acidity. With this structure, this is a great, rich, meat-friendly wine.",Portugal,Portuguese Red
"A wonderfully brooding, tannic wine that offers huge structure along with richness, dark plum skin fruit flavors and a tense mineral and flint texture. Obviously for aging over 4–5 years. Imported by Luiz's Grocery And Liquors.",Portugal,Portuguese Red
"The second wine of Jorge Moreira's Poeira is rich and smooth, the bright berry fruits sinking into a cushiony texture. The acidity and smoky wood provide a counterpoint to its firm, youthful tannins.",Portugal,Portuguese Red
"A rich wine that takes time to show its structure, starting with blackberry fruits, then revealing firm, closed tannins. The wine is a blend of Touriga Nacional and Tinta Roriz, giving off power and complexity.",Portugal,Portuguese Red
"Like its overweight bottle, the wine feels superrich, superpowerful, with few holds barred as its tannins sink into the cushion of luscious fruit. It is given shape by blackberry acidity, and a firm, dry finish.",Portugal,Portuguese Red
"A hearty, red-fruited wine with soft tannins, licorice and a fresh, juicy character. This is a soft wine, attractively balanced, the warm Alentejo sunshine filling the glass.",Portugal,Portuguese Red
"Soft and fresh, a wine with delicious acidity, almonds and pink grapefruit flavors. A mineral edge comes through to give a vibrant aftertaste.",Portugal,Portuguese White
"Fresh, herbal and stalky, a light-bodied red wine that has some well-balanced residual sugar to go with the red berry fruits. The soft texture masks the acidity. Screw cap.",Portugal,Portuguese Red
"A bizarre blend of the hybrid Negra Mole and Trincadeira. The is soft, rather heavy in texture, rich plum flavors, lacking acidity.",Portugal,Portuguese Red
"An attractive entry level Port, fruity with a light tannic structure and a sweet character. Blackberry jam dominates the fruit flavor of this everyday Port.",Portugal,Port
"A delicious, ripe but dry wine with good acidity and attractive flavors of apple and white currant. The wine has some depth as well as crispness. Screwcap.",Portugal,Portuguese White
"Flavors of yellow fruits and pink grapefruit are balanced in this wine. There's a hint of spice, with attractive, taut acidity that adds structure to the wine.",Portugal,Portuguese White
"Despite its alcohol, this is a very fresh wine, its ripe fruit showing typical Merlot cherry jam and soft tannins. It is intensely fruity, perhaps lacking complexity, although an attractive wine to drink now.",Portugal,Merlot
"An easygoing ripe red, with the minerality of the Dão rounded into sweeter damson and red berry fruits. There's an attractive layer of acidity for freshness. Drink now.",Portugal,Portuguese Red
"Rich and concentrated, this has great depth of flavor, which is sustained by wood influence. With its powerful structure and flavors of dark plum skins and ripe berries, it is certainly a wine for aging at least 4–5 years.",Portugal,Portuguese Red
"This LBV could be aged. It has a real youthful feel, and its ripe black-fruit flavors are full of complex sweetness and edged with tannins. It has weight, richness and a generous mouthfeel.",Portugal,Port
"A wood-aged wine, with aromas that are certainly dominated by toast. The taste is more fruity, with pineapple and mandarin orange flavors giving a fine edge of acidity. Age for a year for the wood to integrate more.",Portugal,Portuguese White
"With toast, sweet ripe yellow fruits and some lovely acidity, this is a complex full-bodied wine, its dense texture promising another 1–2 years aging.",Portugal,Portuguese White
"This warm, rich wine, blending Touriga Nacional and Castelão, rolls roundly around the mouth. The tannins are chewy, although always in support of the ripe berry fruits, sweet wood and acidity.",Portugal,Portuguese Red
"Sold only in a wooden crate 4-pack of 500-ml bottles, Pequeño João, or little John, is the young wine of Malhadinha Nova. With its fresh fruit, it relishes that role, with bright clean berry flavors, good acidity and richness.",Portugal,Portuguese Red
"Encruzado is the Dão's star white grape, able to produce, as here, a wine that combines a great sense of style, some weight, along with the freshest of lemon tints. There is some fullness as well, while the final taste is crisp.",Portugal,Encruzado
"A new brand from an old estate for DFJ Vinhos, Rocio is powerfully dark colored, complex and concentrated. Tannins are contained within a structure that is initially severe and then round out into juicy black currant flavors, always tempered with firm tannins.",Portugal,Portuguese Red
"From the high (2000 feet) mountain vineyards in the interior of Portugal, this is a serious, complex expression of Touriga Nacional, perfumed and structured. Dry tannins give tension to the blackberry fruit flavors.",Portugal,Touriga Nacional
"Complex and smooth wine, keeping firm tannins well integrated with the elegant polished fruit. With refreshing acidity to go with the fruit and tannins, the wine is finely, ripely balanced.",Portugal,Portuguese Red
"Deliciously perfumed wine that revels in its cool-climate structure and freshness. Black currant fruits and soft tannins follow through with some dryness. A fine, food-friendly wine.",Portugal,Portuguese Red
"A very aromatic, violet-perfumed wine. It has structured fruit, with wood and blackberry flavors, plenty of acidity and long-term aging potential.",Portugal,Touriga Nacional
"Powerful, complex wine, its tannins beautifully integrated into the dense structure and full black berry fruits. It is so well balanced, the acidity showing seamlessly on finish.",Portugal,Portuguese Red
"A soft, mellow style that veers on the sweet side, but has a good tang from its wood aging. The Port has a touch of orange peel, just a hint of spirit and soft final tannins.",Portugal,Port
"Perfumed, floral wine, dominated by Moscatel grapes. The white fruits, pear and vivid acidity give the wine a fine, fruity balanced character.",Portugal,Portuguese White
"It is rare to find Tinta Barroca on its own. Normally it is used for blending in Port. Here, though, it is in all its ripe fruit glory, an attractive, relatively lightweight wine. It's for drinking now, with red berry fruits right to the fore.",Portugal,Tinta Barroca
"Rounded style of Vinho Verde with some weight to go with the extreme citrus and bright grapefruit flavors. It has a little softness round the edges, but the core is taut, mineral, tangy.",Portugal,Portuguese White
"Great swathes of black fruit, coffee and sweet tannins give this ripe and juicy wine plenty of character and attractiveness. For immediate drinking.",Portugal,Portuguese Red
"Ripe pear fruit flavors go with green plums in the wine that has acidity, but does seem just too hot and heavy.",Portugal,Portuguese White
"Farmyard aromas follow through to a firmly dry, darkly tannic wine with bitter licorice flavors. It has spice from wood, but a rustic character dominates.",Portugal,Portuguese Red
"Attractive red fruits and a good juicy character alongside soft tannins. This is an easy wine, ready to drink now.",Portugal,Portuguese Red
"A fat, rich rosé, full of ripe berry fruits, caramel and spice. It misses out on freshness, and the alcohol does give a burn.",Portugal,Rosé
"Soft, ripe wine with some attractive red berry fruits, touches of mint and leather tannic edge.",Portugal,Portuguese Red
"Aragonês, a k a Tempranillo and Tinta Roriz, is the source of this smooth, rich wine that shows great elegance despite its high alcohol. It has concentration, very dense fruit flavors and a gorgeous ripe finish.",Portugal,Aragonês
"Toasty as well as fruity, this serious and complex wine has powerful tannins, a dense structure, red fruits and good concentration. There is weight here and aging potential.",Portugal,Portuguese Red
"The Sequeira vineyard, in the upper reaches of Douro Superior, obviously can produce powerful, rich wines. But this ripeness is held in check by the dark structure and the firm tannins. This Reserva needs time to smooth out the solid structure.",Portugal,Portuguese Red
"Based on Cercial, here is a rounded, smooth wine with a delicious perfume. Warm, ripe and delicious, this shows wood hints, peaches and green herbs. Keep for a year.",Portugal,Portuguese White
"Pure Touriga Nacional, firm while also fruity, this is an intense, aromatic and finely perfumed, smokey wine. The wood aging has softened the tannins while keeping the structure.",Portugal,Touriga Nacional
"With its concentration and dark tannins, this is a wine that will need many years of aging. It is a serious combination of great style and great power. From one of the top Douro vineyards, this is a wine with an impressive, long-lasting sense of presence.",Portugal,Portuguese Red
"Smooth, oily-textured ripe wine, stylish and flavorsome. The melon and apple flavors are counterbalanced by a rich acidity, a dense structure and a vanilla hint.",Portugal,Portuguese White
"A very rich wine, its tannins wrapped in ripe, jammy black fruits. The wine is solid, powerful, all concentrated fruit, sweet and juicy.",Portugal,Portuguese Red
"A warm, ripe vintage of Altano, its berry and red plum fruits rich and generous. It has attractive, well-balanced, soft tannins. A layer of acidity and spice completes this harmonious wine.",Portugal,Portuguese Red
"Big, spicy wine, full of ripe black plums with dried prunes coming through strongly. The tannins are dark, providing a firm core of dryness. It does feel somewhat hot, with alcohol that suppresses the attractive acidity.",Portugal,Portuguese Red
"This rich wine is touched by botrytis, although its main character is ultraripe, sweet fruit. Mango, honey and an edge of toast come together easily.",Portugal,Malvasia Fina
"Attractive flavors of red fruit mixed with soft tannins give this wine a very approachable feel. With spice notes from having been aged in wood and its fruity character, this wine is ready to drink now.",Portugal,Portuguese Red
"Pineapple and mango flavors lead off a wine that is soft and rounded. Its acidity is muted by the ripe fruit, although there is a good zingy mineral edge. A seafood friendly style of wine.",Portugal,Portuguese White
"A ripe, soft, fruity wine that has red-berry flavors, with a hint of spice from having spent time in wood, and attractive acidity. It's immediately appealing and needs no further aging.",Portugal,Portuguese Red
"A new brand from Campolargo, this is firmly tannic, and it shows off the Baga grape. It needs several years of aging.",Portugal,Portuguese Red
"This dark-colored blend of Touriga Nacional and Castelão shows intense fruitiness and concentrated structure. A full-bodied and black-fruit-driven wine, this will age over the next few years, and the tannins will round out to add more richness.",Portugal,Portuguese Red
"Black-colored wine, showing the rich minerality of the Douro and its impressively structured fruit. Cranberry acidity mixes with black berry and a firm tannic core. Age for 2–3 years or more.",Portugal,Portuguese Red
"Almost Port-like in its rich aromas, this is a concentrated and sweet wine, filled with dark chocolate, bitter licorice and chewy berry fruits. Age for at least four years.",Portugal,Portuguese Red
"Dão Sul's showpiece quinta in Santar has produced this mellifluous, rich wine, with wood flavors that are married to yellow fruits, cantaloupe melon and a hint of acidity.",Portugal,Portuguese White
"Licorice and dark chocolate flavors emerge with firm tannins cutting through the balanced fruit and acidity. Flavors are also of black cherry, damson and perhaps mineral. The wine needs decanting.",Portugal,Portuguese Red
"Named after the pomegranate orchard that existed before the vines, this is a powerful, dense wine, concentrated with fruit and dark tannins. Good spice, extreme juiciness and acidity give extra character. This is for aging over 4–5 years.",Portugal,Portuguese Red
"Smooth Chardonnay-like richness gives concentration to this magnificent ripe wine. The wood aging shows through the fruit, ending on toast, spice and green herbs.",Portugal,Portuguese White
"An equal blend of wine fermented in stainless steel and fermented in wood (hence Consensus), this is finely balanced. Its apple and apricot fruits have great acidity, while also rich, fruity and structured. The finish is lingering, fresh.",Portugal,Portuguese White
"The wine certainly tastes rich, perhaps on the brazen side of opulence. It does have structure, though, giving shape to the pepper, spice and black plum juice flavors. Despite the tannins, this is not for aging.",Portugal,Portuguese Red
"Curious stalky fruit aromas don't translate well in this rather lean wine. It has black currant fruits, light tannins, prominent acidity, but lacks balanced density.",Portugal,Portuguese Red
"At this stage, the wine is young and closed up. It only hints at the powerful fruit and tannins that lie under the surface. For those with patience, this will be a serious, concentrated, terroir-driven wine, offering considerable aging.",Portugal,Portuguese Red
"An immense and opulent wine, with a more mineral, citrus-driven backdrop. This is packed with flavors of tropical fruit, crisp green apple and citrus, with a toast and spice contrast. Give this 3-4 years of aging.",Portugal,Portuguese White
"Mint and black fruit aromas follow through to a wine that has intensity and structured power. It is currently revealing as much tannin as fruit, although the dark plum flavors are plenty rich. This complex wine needs aging over 4-5 years.",Portugal,Portuguese Red
"Ripe peach and green plum flavors, laced with steely acidity. This is a wine that has intense fruitiness, showing a round texture to balance the fruit. Drink now, and will be best with food.",Portugal,Portuguese White
"A smooth yet still zesty wine, with lemon and peach flavors, reveling in its freshness and rounded corners. The wine, with its light and crisp feel, is for drinking now. Screwcap.",Portugal,Portuguese White
"The ripe Loureiro fruit, at its best in the Lima Valley, gives flavors of apricot, melon, orange zest. The wine has a creamy character, though always with the proper citrus acidity of Vinho Verde.",Portugal,Loureiro
"Bearing in mind that pink Ports lend themselves as a cocktail ingredient, the neutral character of this sweet wine is just right. Hinting at strawberry flavors and a soft texture, it is ready to drink.",Portugal,Port
"A lean, rather severe wine initially that pushes its bitter chocolate and tannic character. Only slowly does its ripe berry fruit come through to give a fuller texture. At the end, more juicy cranberry flavors appear.",Portugal,Portuguese Red
"A blend of Douro grapes, this wine is earthy and lightweight. While it does make an attractively fruity wine, it misses the extra dimension of wood.",Portugal,Portuguese Red
"A smooth and soft wine that shows some weight to its ripe apricot and lime flavors. It is rounded, with a slight apple-skin texture, and is ready to drink. Screwcap.",Portugal,Alvarinho
"A light, bright and breezy wine with an attractive citrus character and tight acidity. Great for an apéritif or with shellfish.",Portugal,Portuguese White
"A light and fruity style of Vinho Verde, its acidity balanced with pear and white-currant notes. Lemon flavors cut through, adding brightness.",Portugal,Portuguese White
"A soft and creamy wine. It has baked apple and perfume notes, with an attractive, crisp aftertaste. Made from Alvarinho grown in the northern subregion of Vinho Verde, this wine could age a few months.",Portugal,Alvarinho
"Big bold, attractive wine that strides over the palate, giving sweet fruit as well as acidity. The tannins are buried within the ripe red berry fruits that are edged with a more concentrated meaty character",Portugal,Portuguese Red
"Wood-aged wine that shows pedigree and style. It has red berry fruit flavors, firm tannins along with acidity and a dry core. It's a serious wine, for aging over 4–5 years.",Portugal,Portuguese Red
"Wood aging brings out just a touch of oak to go with the floral and citrus fruits. Melon and sweetness are a delicious part of this ripe, full-bodied wine.",Portugal,Portuguese White
"Dense, sweet-fruited wine, its delicious black cherry fruits laced with minerality and acidity. The tannins are very present and it needs some years' aging.",Portugal,Portuguese Red
"Showing freshness as well as structure, this intense wine is certainly fruity, while also having a dense texture, wood elements, ripe and friendly juiciness. Age for 2–3 years and more.",Portugal,Portuguese Red
"Raw, rustic wine, its tannins hardened by excessive acidity. It just about works as a rough and ready red.",Portugal,Portuguese Red
"Dark, dry tannins and firm plum skin flavors dominate this wine from vineyards south of Lisbon. There is a great streak of acidity, giving a wine that has both structure and freshness.",Portugal,Castelão
"The latest vintage of Periquita maintains the high standards of this popular Portuguese brand. With its juicy fruit, soft tannins and blackberry flavors, it is a little more structured than some previous vintages while still keeping its full fruity character.",Portugal,Portuguese Red
"Delicious, ripe-fruited wine, with pear and quince and a streak of citrus. Very fresh, although with an attractive creamy texture, it has a great final zing of acidity. Screwcap.",Portugal,Portuguese White
"Concentrated and impressive, this has dark fruit and layers of wood, with a dense texture. Dominated by its opulent black fruits, this full-bodied wine is sustained by its tannins and acids. It should age for many years.",Portugal,Portuguese Red
"This exhibits a dark, brooding structure that underlies the rich and dense fruit. Flavors of chocolate and licorice add another element, bringing together a wine that will need many years of aging.",Portugal,Portuguese Red
"This is a crisp, fresh and fruity rosé, made from Touriga Nacional in the same region where Vinho Verde is produced. It's vivid acidity is bright, with raspberry flavors and low alcohol.",Portugal,Rosé
"Earthy aromas lead to a wine that is closed, tight and very firm. It has tough tannins that mask the jellied red-fruit flavors, but should soften in a year, revealing a more juicy character.",Portugal,Touriga Nacional
"A big-hearted wine, despite its modest alcohol. This character comes from the bold fruitiness—blackberry and sweet plum flavors—underpinned with acidity and a light touch of tannins. Ready to drink.",Portugal,Portuguese Red
"Rich, full bodied and smooth, this wine is driven by its black fruits and dark tannins. Acidity lines the fruitiness, which gives a juicy edge to the solid texture. It shows potential, so keep it for at least four years.",Portugal,Portuguese Red
"A ripe, smoky wood- and black fruit-driven wine. It has richness with structure, a smooth texture and just the right level of acidity. A delicious wine, ready to drink now.",Portugal,Aragonez
"A brute of a wine, both in its immense flavors and its excessively weighty bottle. It has richness, full of concentrated sweet plum juice and dense tannins—very rich, very in your face.",Portugal,Portuguese Red
"There is certainly some of the Dão minerality in the texture of this wine. It's main thrust is berry fruit, which is filled out with some attractive tannins, spice from wood and final acidity.",Portugal,Portuguese Red
"A blend with Merlot has certainly tamed the wild tannins of the Baga grape. A touch of wood goes with the sweet tannins and the ripe and juicy black fruit, finished with acidity.",Portugal,Portuguese Red
"Earthy, ripe wine that brings out the stern minerality of this Douro Superior vineyard. The wine shows intense fruitiness and acidity while pushing a firm, solid structure. It can be drunk now, or over 2–3 years.",Portugal,Portuguese Red
"A ripe, fruity wine, packed with sweet plums, prunes and balanced with berry acidity. Licorice and bitter chocolate come with the wood flavors to give a powerful, concentrated, perfumed wine.",Portugal,Touriga Nacional
"A deliciously smooth-texture wine, with soft tannins, sweet plum juice flavors and just the right amount of maturity to calm the tannins. Drink now.",Portugal,Portuguese Red
"Some good red and dark blackberry fruits emerge from concentrated tannins and a firm structure. This wine is made for aging, the juicy Alicante Bouschet character well integrated into the fine texture.",Portugal,Portuguese Red
"Wood-aged wine with smooth tannins, juicy black cherry and plum fruits, which pile on top of each other as they vie for richness. There is a ripely fruity aftertaste.",Portugal,Portuguese Red
"Perfumed wine, from both wood and Touriga Nacional in the blend. This is serious stuff, offering firm, dry tannins as well as balanced black currant fruit and a dusty texture.",Portugal,Portuguese Red
"Rich, rounded, mature wine. It shows all its firm tannins as well as great tarry fruit, acidity and a powerful bitter chocolate aftertaste.",Portugal,Portuguese Red
"This is perfumed and fruity, with notes of raisins, prunes and bitter chocolate that are supported by solid tannins. For aging over 2-3 years.",Portugal,Syrah
"Deep and concentrated, this is still young and boasting the ripe fruit from the vintage. A blend of Alicante Bouschet, Aragonez and Touriga Nacional, it has weight and dark tannins, with a blackberry flavor. With its acidity and structure, this is a wine for aging.",Portugal,Portuguese Red
"A full-bodied wine, this is powered by toast and rich yellow fruit. It is stylish, with its fruit elegantly integrated into the complex structure. Acidity comes in on the finish, adding a fresh character to this ageworthy wine.",Portugal,Portuguese White
"A wine with some density of flavor to go with its intense green apple character. It has some ripe green berries, laced with pink grapefruit.",Portugal,Azal
"The blend of Fernão Pires and Arinto produces a rich and creamy wine with pear, ripe apple and apricot flavors. A floral character gives extra piquancy.",Portugal,Portuguese White
"Earthy wine, with red plum acidity and a dry edge. It has some soft juiciness, the wine's natural austerity leavened by some ripe fruit in the aftertaste.",Portugal,Portuguese Red
"Full-bodied, spicy wine. It has a ripe, toast and apple flavor and a smooth texture, with light acidity. The wine is dry while also soft.",Portugal,Portuguese White
"A young and fruity wine, full of ripe black currant fruit. Its tannins are soft, a good balance with the fresh, juicy fruit. Drink or age a year.",Portugal,Portuguese Red
"On the dry side, this deliciously crisp Vinho Verde has all the right citrus acidity. It's bursting with lively fruits, just petillant in the mouth, with a crisp apple finish. Screwcap.",Portugal,Portuguese White
"Bright and fresh Vinho Verde, with attractive citrus character and a light fizz over dryness. The wine is just right for summer drinking. Screwcap.",Portugal,Portuguese White
"Crisp apple-green wine with just the right amount of acidity to balance the palate prickle. The wine is dry, laced with citrus.",Portugal,Portuguese White
"While this is lightweight for a Douro wine, it does have a backbone of tannin. It is warm, with its damson jelly flavors giving a reassuring winter feel. The texture shows dusty tannins and a final juicy character. Screwcap.",Portugal,Portuguese Red
"Storks have traditionally nested in the tall chimnies of DFJ's winery, and this wine celebrates that. Soft, ripe and easily fruity, it has a light tannic touch, followed by some bright acidity and red-berry flavors. Screwcap.",Portugal,Portuguese Red
"Barnyard aromas offer a wine that is spicy and ripe, with the somewhat hard tannins lending a rustic feel. There is some juicy red fruit that blends with the acidity.",Portugal,Trincadeira
"A soft, simple and ripe wine, with attractive notes of white-fruit. The texture is open, with a light touch of acidity and citrus flavors.",Portugal,Portuguese White
"A blend of Chardonnay and Fernão Pires, this is light, fruity and ready to drink. Its citrus and white-fruit flavors are soft, open and approachable. Screwcap.",Portugal,Portuguese White
"A young, fruity wine with soft tannins and juicy berry fruits. It is forward, very approachable, and is ready to drink with pasta or spicy food.",Portugal,Portuguese Red
